"package","time","milli.time"
"baRcodeR",75610818000,75610.818
"qrlabelr",1201075100,1201.0751
"baRcodeR",70949377100,70949.3771
"qrlabelr",807818500,807.8185
"qrlabelr",819814900,819.8149
"baRcodeR",64911077300,64911.0773
"baRcodeR",65862326900,65862.3269
"qrlabelr",1076242500,1076.2425
"baRcodeR",65984388600,65984.3886
"baRcodeR",66999375200,66999.3752
"baRcodeR",65895452000,65895.452
"qrlabelr",1050690000,1050.69
"qrlabelr",1057378700,1057.3787
"baRcodeR",65453329100,65453.3291
"qrlabelr",1054336500,1054.3365
"qrlabelr",1073915900,1073.9159
"qrlabelr",1087141800,1087.1418
"qrlabelr",1024688400,1024.6884
"baRcodeR",65599112200,65599.1122
"baRcodeR",65646840100,65646.8401
"qrlabelr",1031467600,1031.4676
"baRcodeR",65442727500,65442.7275
"qrlabelr",1114698300,1114.6983
"qrlabelr",1045277700,1045.2777
"baRcodeR",64517510100,64517.5101
"qrlabelr",1058863700,1058.8637
"baRcodeR",65358748300,65358.7483
"qrlabelr",1026689000,1026.689
"baRcodeR",64883286100,64883.2861
"baRcodeR",64252311000,64252.311
"baRcodeR",64367071000,64367.071
