"package","time","milli.time"
"baRcodeR",20123778137,20123.778137
"qrlabelr",276896411,276.896411
"qrlabelr",274442602,274.442602
"baRcodeR",19982174838,19982.174838
"baRcodeR",19976655500,19976.6555
"qrlabelr",278645758,278.645758
"baRcodeR",20016338252,20016.338252
"qrlabelr",274946410,274.94641
"qrlabelr",275044277,275.044277
"qrlabelr",279906672,279.906672
"qrlabelr",275829550,275.82955
"qrlabelr",275443494,275.443494
"qrlabelr",273416290,273.41629
"baRcodeR",20017668825,20017.668825
"baRcodeR",20015489101,20015.489101
"qrlabelr",274194101,274.194101
"qrlabelr",274679869,274.679869
"qrlabelr",274159292,274.159292
"baRcodeR",20096491448,20096.491448
"baRcodeR",19990500667,19990.500667
"baRcodeR",19986279553,19986.279553
"qrlabelr",276441598,276.441598
"qrlabelr",272266199,272.266199
"qrlabelr",274009109,274.009109
